track_id,pair_id,s3_url,http_url,is_parent
tracks/alan_walker_-_spectre_remix,alan_walker_-_spectre_remix__hoi-epzrzce,s3://lucas-audiotool-tracks/mp3/b9/b7/alan_walker_-_spectre_remix.b9b77fef.mp3,https://lucas-audiotool-tracks.s3.amazonaws.com/mp3/b9/b7/alan_walker_-_spectre_remix.b9b77fef.mp3,True
tracks/hoi-epzrzce,alan_walker_-_spectre_remix__hoi-epzrzce,s3://lucas-audiotool-tracks/mp3/51/4e/hoi-epzrzce.514eb0f7.mp3,https://lucas-audiotool-tracks.s3.amazonaws.com/mp3/51/4e/hoi-epzrzce.514eb0f7.mp3,False
tracks/100_follower_remix_contest_make_me_cry_tears_of_joy,100_follower_remix_contest_make_me_cry_tears_of_joy__100_follower_remix_contest_aringrey_entry,s3://lucas-audiotool-tracks/mp3/15/29/100_follower_remix_contest_make_me_cry_tears_of_joy.15292a6c.mp3,https://lucas-audiotool-tracks.s3.amazonaws.com/mp3/15/29/100_follower_remix_contest_make_me_cry_tears_of_joy.15292a6c.mp3,True
tracks/100_follower_remix_contest_aringrey_entry,100_follower_remix_contest_make_me_cry_tears_of_joy__100_follower_remix_contest_aringrey_entry,s3://lucas-audiotool-tracks/mp3/f6/be/100_follower_remix_contest_aringrey_entry.f6be822a.mp3,https://lucas-audiotool-tracks.s3.amazonaws.com/mp3/f6/be/100_follower_remix_contest_aringrey_entry.f6be822a.mp3,False
tracks/daft_punk_derezzed_live_set-nrtey,daft_punk_derezzed_live_set-nrtey__derezzed_live_set_remix,s3://lucas-audiotool-tracks/mp3/66/46/daft_punk_derezzed_live_set-nrtey.6646654a.mp3,https://lucas-audiotool-tracks.s3.amazonaws.com/mp3/66/46/daft_punk_derezzed_live_set-nrtey.6646654a.mp3,True
tracks/derezzed_live_set_remix,daft_punk_derezzed_live_set-nrtey__derezzed_live_set_remix,s3://lucas-audiotool-tracks/mp3/f8/91/derezzed_live_set_remix.f89104b1.mp3,https://lucas-audiotool-tracks.s3.amazonaws.com/mp3/f8/91/derezzed_live_set_remix.f89104b1.mp3,False
tracks/dm_productions_remix_competition_200_followers,dm_productions_remix_competition_200_followers__dm_productions_200_followers_remix_2,s3://lucas-audiotool-tracks/mp3/a3/ed/dm_productions_remix_competition_200_followers.a3edbe2c.mp3,https://lucas-audiotool-tracks.s3.amazonaws.com/mp3/a3/ed/dm_productions_remix_competition_200_followers.a3edbe2c.mp3,True
tracks/dm_productions_200_followers_remix_2,dm_productions_remix_competition_200_followers__dm_productions_200_followers_remix_2,s3://lucas-audiotool-tracks/mp3/c3/e5/dm_productions_200_followers_remix_2.c3e55f20.mp3,https://lucas-audiotool-tracks.s3.amazonaws.com/mp3/c3/e5/dm_productions_200_followers_remix_2.c3e55f20.mp3,False
tracks/7th_grade_muwci_beat_learning_project,7th_grade_muwci_beat_learning_project__angie_beat_thing,s3://lucas-audiotool-tracks/mp3/72/48/7th_grade_muwci_beat_learning_project.72487058.mp3,https://lucas-audiotool-tracks.s3.amazonaws.com/mp3/72/48/7th_grade_muwci_beat_learning_project.72487058.mp3,True
tracks/angie_beat_thing,7th_grade_muwci_beat_learning_project__angie_beat_thing,s3://lucas-audiotool-tracks/mp3/17/7f/angie_beat_thing.177f5eaf.mp3,https://lucas-audiotool-tracks.s3.amazonaws.com/mp3/17/7f/angie_beat_thing.177f5eaf.mp3,False
